name,gender,nom_category,year
Mark Andrus,male,"Writing, Original Screenplay",1998
Walter F. Parkes,male,"Writing, Original Screenplay",1984
Pasquale Festa Campanile,male,"Writing, Original Screenplay",1964
S. H. Barnett,male,"Writing, Original Screenplay",1965
Sydney Box,male,"Writing, Original Screenplay",1947
Gregory Nava,male,"Writing, Original Screenplay",1985
Annie Mumolo,female,"Writing, Original Screenplay",2012
Carlos Cuarón,male,"Writing, Original Screenplay",2003
David Reynolds,male,"Writing, Original Screenplay",2004
Don McGuire,male,"Writing, Original Screenplay",1983
Jack Davies,male,"Writing, Original Screenplay",1966
Jeremy Pikser,male,"Writing, Original Screenplay",1999
Ted Allan,male,"Writing, Original Screenplay",1976
Bernard C. Schoenfeld,male,"Writing, Original Screenplay",1951
Keir Pearson,male,"Writing, Original Screenplay",2005
Milton Holmes,male,"Writing, Original Screenplay",1946
Efthimis Filippou,male,"Writing, Original Screenplay",2017
Larry Tucker,male,"Writing, Original Screenplay",1970
Barney Slater,male,"Writing, Original Screenplay",1958
Will Rokos,male,"Writing, Original Screenplay",2002
Joseph Stone,male,"Writing, Original Screenplay",1960
Josh Cooley,male,"Writing, Original Screenplay",2016
Federico Fellini,male,"Writing, Original Screenplay",1976
Federico Fellini,male,"Writing, Original Screenplay",1950
Federico Fellini,male,"Writing, Original Screenplay",1958
Federico Fellini,male,"Writing, Original Screenplay",1957
Federico Fellini,male,"Writing, Original Screenplay",1964
Federico Fellini,male,"Writing, Original Screenplay",1962
Roberto Benigni,male,"Writing, Original Screenplay",1999
Paul Thomas Anderson,male,"Writing, Original Screenplay",2000
Paul Thomas Anderson,male,"Writing, Original Screenplay",1998
Robert Rodat,male,"Writing, Original Screenplay",1999
Éric Rohmer,male,"Writing, Original Screenplay",1971
John Cassavetes,male,"Writing, Original Screenplay",1969
Jacques Tati,male,"Writing, Original Screenplay",1956
Roberto Rossellini,male,"Writing, Original Screenplay",1950
Lina Wertmüller,female,"Writing, Original Screenplay",1977
Peter Weir,male,"Writing, Original Screenplay",1991
Michael Cimino,male,"Writing, Original Screenplay",1979
Krzysztof Piesiewicz,male,"Writing, Original Screenplay",1995
Bob Rafelson,male,"Writing, Original Screenplay",1971
Mel Brooks,male,"Writing, Original Screenplay",1969
James Edward Grant,male,"Writing, Original Screenplay",1959
John Cornell,male,"Writing, Original Screenplay",1987
Ariane Mnouchkine,female,"Writing, Original Screenplay",1965
Oliver Stone,male,"Writing, Original Screenplay",1996
Oliver Stone,male,"Writing, Original Screenplay",1987
Oliver Stone,male,"Writing, Original Screenplay",1987
Robert Zemeckis,male,"Writing, Original Screenplay",1986
Peter Fonda,male,"Writing, Original Screenplay",1970
Walter Reisch,male,"Writing, Original Screenplay",1954
Nora Ephron,female,"Writing, Original Screenplay",1984
Nora Ephron,female,"Writing, Original Screenplay",1990
Nora Ephron,female,"Writing, Original Screenplay",1994
Jean-Pierre Jeunet,male,"Writing, Original Screenplay",2002
Alan Jay Lerner,male,"Writing, Original Screenplay",1952
Alfredo Giannetti,male,"Writing, Original Screenplay",1963
Bruce Joel Rubin,male,"Writing, Original Screenplay",1991
Darrell Ware,male,"Writing, Original Screenplay",1942
Deric Washburn,male,"Writing, Original Screenplay",1979
David Peoples,male,"Writing, Original Screenplay",1993
Millard Kaufman,male,"Writing, Original Screenplay",1954
John Patrick Shanley,male,"Writing, Original Screenplay",1988
Larry Gelbart,male,"Writing, Original Screenplay",1983
Pierre Bismuth,male,"Writing, Original Screenplay",2005
Guillaume Laurant,male,"Writing, Original Screenplay",2002
Nancy Oliver,female,"Writing, Original Screenplay",2008
Norman Burnstine,male,"Writing, Original Screenplay",1941
Stanley Shapiro,male,"Writing, Original Screenplay",1963
Stanley Shapiro,male,"Writing, Original Screenplay",1962
Stanley Shapiro,male,"Writing, Original Screenplay",1960
Stanley Shapiro,male,"Writing, Original Screenplay",1960
Douglas McGrath,male,"Writing, Original Screenplay",1995
Emmet Lavery,male,"Writing, Original Screenplay",1956
Cesare Giulio Viola,male,"Writing, Original Screenplay",1948
Nicola Badalucco,male,"Writing, Original Screenplay",1970
Leonard Gershe,male,"Writing, Original Screenplay",1958
Chris Clark,female,"Writing, Original Screenplay",1973
Jeff Maguire,male,"Writing, Original Screenplay",1994
Matt Charman,male,"Writing, Original Screenplay",2016
Robert Wright Campbell,male,"Writing, Original Screenplay",1958
Ronnie del Carmen,male,"Writing, Original Screenplay",2016
Frank Davis,male,"Writing, Original Screenplay",1966
Melisa Wallack,female,"Writing, Original Screenplay",2014
Eric Johnson,male,"Writing, Original Screenplay",2011
Keith Dorrington,male,"Writing, Original Screenplay",2011
Alfonso Cuarón,male,"Writing, Original Screenplay",2003
Sam Peckinpah,male,"Writing, Original Screenplay",1970
Mario Monicelli,male,"Writing, Original Screenplay",1966
Mario Monicelli,male,"Writing, Original Screenplay",1965
